"Izquierda","Derecha","ID_Padre","Decision","Aplicado","Miembros_Completos_Leidos","Caracteres_Grupos_Leidos","Justificacion"
"RPM-2006-07-13:780:2","RPM-2006-07-13:780:3","780","RESERVA_LIMITE_PREVIO","NO","RPM-2006-07-13:780:2;RPM-2006-07-13:780:3","3418","Corbo1655 y1763 son compatibles temáticamente, pero se conserva la reserva del puente anterior en De Gregorio5463: el tramo En la economía nacional carece de atribución nominal propia. No se desplaza ni reatribuye ese puente, ni se usa este lote para resolverlo. Se mantienen cuatro grupos, incluyendo Consejo2546."
"RPM-2007-02-08:1092:1","RPM-2007-02-08:1092:2","1092","ENLACE_RESPALDADO_POR_LECTURA","SI","RPM-2007-02-08:1092:1;RPM-2007-02-08:1092:2","3097","Jadresic276 expone su preferencia por la mantención; Agrega el señor Jadresic desarrolla2821 con inflación subyacente y mercado laboral y concluye la misma recomendación. No hay voz intercalada. La referencia al análisis del Gerente de Estudios no crea otro hablante."
"RPM-2009-08-13:2661:6","RPM-2009-08-13:2661:7","2661","RESERVA_CONFIRMACION_NO_TRANSCRITA","NO","RPM-2009-08-13:2661:6;RPM-2009-08-13:2661:7","1371","La acotación que es confirmada por el señor Lehmann49 no transcribe palabras ni explicita modalidad; se conserva separada del desarrollo1322. No se inventa una respuesta verbal ni se fusionan los retornos de Lehmann219/917/69 a través de Desormeaux, Velasco, De Gregorio o Claro. Reserva conservadora, no prueba de discontinuidad absoluta."
"RPM-2009-09-08:2695:2","RPM-2009-09-08:2695:3","2695","ENLACE_RESPALDADO_POR_LECTURA","SI","RPM-2009-09-08:2695:2;RPM-2009-09-08:2695:3;RPM-2009-09-08:2696:1","2104","Soto inicia su exposición433 y desarrolla indicadores sectoriales1020;2696:1 continúa consumo651. Se agrupan esos tres miembros. Presidente192 con X - y sus avisos queda fuera; también quedan fuera Desormeaux107 y los retornos posteriores de Soto en2696."
"RPM-2009-10-13:2754:2","RPM-2009-10-13:2754:3","2754","ENLACE_RESPALDADO_POR_LECTURA","SI","RPM-2009-10-13:2754:2;RPM-2009-10-13:2754:3;RPM-2009-10-13:2755:1","7764","Marshall inicia su exposición732, desarrolla mercados financieros2603 y continúa demanda, inflación y voto4429 en2755. Se agrupa toda esta presentación de7764 caracteres. Claro7258 queda fuera y Marfán2756 no se incorpora. Se conservan literalmente e\ apoyo y cambíanos, sin reparación OCR ni certificación del texto."
"RPM-2009-11-12:2778:2","RPM-2009-11-12:2778:3","2778","ENLACE_RESPALDADO_POR_LECTURA","SI","RPM-2009-11-12:2778:2;RPM-2009-11-12:2778:3","2613","Soto anuncia dos comentarios y desarrolla el primero803; En cuanto a lo segundo desarrolla1810 y continúa mercado laboral. Se agrupan sólo esos dos tramos. Marfán519 queda fuera. Tampoco se incorpora el Soto de2779 a través de Cowan: se preserva la alternancia y no se inventan palabras del asentimiento allí narrado."
"RPM-2009-11-12:2790:1","RPM-2009-11-12:2790:2","2790","ENLACE_RESPALDADO_POR_LECTURA","SI","RPM-2009-11-12:2790:1;RPM-2009-11-12:2790:2;RPM-2009-11-12:2791:1","6592","Soto enumera tres aspectos594 y desarrolla los tres3179;2791 continúa la tercera consideración y comunicación de la FLAP2819. Se preservan todos los6592 caracteres de esta presentación y el ancla nominal de2791. No se incorpora2789 ni el agradecimiento del Presidente2792."
"RPM-2009-12-15:2810:2","RPM-2009-12-15:2810:3","2810","ENLACE_RESPALDADO_POR_LECTURA","SI","RPM-2009-12-15:2810:2;RPM-2009-12-15:2810:3","1206","Lehmann responde sobre alimentos274 y continúa con cobre e importaciones chinas932. Se conserva Marshall153 antes y la intervención de Marfán481 después; el retorno de Lehmann1812 no se incorpora a través de Marfán. Lehman Brothers es una empresa mencionada, no otro turno ni un alias; calda y de! permanecen literales."
"RPM-2010-01-14:2863:2","RPM-2010-01-14:2863:3","2863","RESERVA_RESIDUOS_TEXTUALES","NO","RPM-2010-01-14:2863:2;RPM-2010-01-14:2863:3;RPM-2010-01-14:2864:1","1497","Soto63 y939 tienen continuidad plausible, pero el desarrollo conserva ha caído algo r últimamente y el final A continuación,. Se posterga un enlace adicional hasta resolver el alcance de los residuos; no se añade ni borra alerta automáticamente. Se conserva la continuidad ya existente2863:3→2864:1 y se mantiene separada la pregunta de Marfán106."
"RPM-2010-02-11:2909:3","RPM-2010-02-11:2909:4","2909","ENLACE_RESPALDADO_POR_LECTURA","SI","RPM-2010-02-11:2909:3;RPM-2010-02-11:2909:4","3069","Soto responde a Marfán604 y continúa inventarios, consumo, exportaciones y cierre fiscal2465 sin otra voz intercalada. No se une al Soto inicial1806 atravesando la intervención de Marfán1244. El Presidente2910 queda fuera."
"RPM-2010-10-14:3439:2","RPM-2010-10-14:3439:3","3439","ENLACE_RESPALDADO_POR_LECTURA","SI","RPM-2010-10-14:3439:2;RPM-2010-10-14:3439:3","2345","Jaque no sólo confirma: explica las primas por plazos390, y prosigue expresamente con tasas y monedas1955. Se unen estos2345 caracteres. De Ramón152 y su aviso quedan fuera; no se incorpora el Presidente3440."
"RPM-2011-01-13:3646:2","RPM-2011-01-13:3646:3","3646","RESERVA_CONFIRMACION_NO_TRANSCRITA","NO","RPM-2011-01-13:3646:2;RPM-2011-01-13:3646:3","1252","Lehmann84 confirma lo dicho por Claro sin palabras transcritas. Aunque después se indica que continúa1168, no se usa esa coincidencia para afirmar modalidad de la confirmación ni fusionarla en este lote. Se conservan Claro233 y retorno98. Reserva conservadora como2661; no prueba de una nueva voz intercalada."
"RPM-2012-12-13:5252:3","RPM-2012-12-13:5252:4","5252","RESERVA_FUNCIONES_DISTINTAS","NO","RPM-2012-12-13:5252:3;RPM-2012-12-13:5252:4","385","Se relee y conserva la reserva del lote2: comentario1712, acta158, aviso162 sobre incorporación futura de Vergara y cesión223 a Herrera permanecen en cuatro grupos. No se convierte llegada futura en habla ni se adelanta a Herrera. No se afirma otra voz entre162 y223."
"RPM-2015-05-14:6800:2","RPM-2015-05-14:6800:3","6800","ENLACE_RESPALDADO_POR_LECTURA","SI","RPM-2015-05-14:6800:2;RPM-2015-05-14:6800:3","3715","Vial desarrolla su análisis y voto3564; En mérito de lo expuesto reitera el mismo voto151, sin otra intervención entre ambos. Se unen3715 caracteres sin borrar la reiteración. Presidente141 queda fuera; las felicitaciones a Valdés y las referencias a García o a la Gerencia no son nuevos turnos."
