ID_Original,ID_Padre,Fecha,Actor_Original_Cola,Motivos_Originales,Estado_Seguimiento,Tipo_Revision,Prioridad,Variante_Identidad_Pendiente,IDs_Actuales,Actores_Actuales,Alertas_Actuales,Justificacion,Siguiente_Paso,Texto_Original,Final_Anterior_Actual,Inicio_Siguiente_Actual,SHA256_Texto
39,38,2005-01-11,Rodrigo Valdés Pulido,ATRIBUCION_POR_ANAFORA,METODO_ACTUALIZADO,COMPARACION_AUTOMATICA,ALTA,,39,Rodrigo Valdés Pulido,,Cambió la evidencia reconocida sin cambiar actor/límites; no equivale a corregir un actor.,"Revisar sujeto, destinatarios, citas y continuidad; no heredar por proximidad.","Al respecto, el señor Gerente de División señala que; 1. En la reunión de política monetaria de diciembre, el Consejo decidió mantener la tasa de interés de política en 2,25%. Con los antecedentes disponibles se concluía que, a diferencia de los meses previos, la actividad no tenía una aceleración adicional que las medidas de la tendencia inflacionaria seguían aumentando lentamente desde niveles reducidos y que el ritmo de aumento de los costos seguía siendo acotado. Se consideró que tanto subir como mantener la tasa de política monetaria era coherente con la estrategia de normalización pausada de la política monetaria, la cual no cambiaba con la información disponible. Se decidió que mantener la tasa era apropiado para justamente remarcar la gradualidad del proceso de normalización. En el comunicado respectivo, el Consejo reafirmó que, en el escenario más probable, continuaría reduciendo pausadamente el marcado estímulo monetario prevaleciente, de manera de mantener una trayectoria esperada para la inflación en torno a 3% anual en el horizonte habitual de política. 2. Los antecedentes acumulados desde la última reunión dan cuenta de que continúan las principales tendencias observadas en la economía nacional en los últimos meses, con una inflación acotada y una actividad más dinámica, todo ello en un entorno internacional favorable. En efecto, las cifras de crecimiento económico continúan altas y han sido algo superiores a las proyectadas. La inversión sigue aumentando en la tendencia de los últimos meses y, más allá de temas de registro de alta frecuencia, las exportaciones siguen creciendo con fuerza. La creación de empleo ha confirmado su dinamismo de los últimos tres meses y se aprecian expectativas positivas. En paralelo, las medidas de la tendencia inflacionaria siguen repuntado desde niveles reducidos, aunque la inflación subyacente IPCX1 una vez más se situó marginalmente por debajo de lo presupuestado. El ritmo de aum ento de los distintos costos sigue siendo sorprendentemente acotado, en particular los costos laborales unitarios privados, que caen en 12 meses en lo más reciente (y pesan casi 75% en la estructura de costos del IPCX1), y el tipo de cambio multilateral, que tuvo una disminución real cercana a 2,5% desde la última reunión (y pondera poco menos de 10% en ese mismo indicador). Finalmente, las distintas medidas de expectativas de inflación se mantienen por debajo de 3%, en particular la compensación inflacionaria en instrum entos financieros a distintos plazos. 3. De acuerdo con las proyecciones preparadas para el Informe de Política Monetaria, este cuadro de dinamismo del sector real, de inflación reducida aunque aumentando gradualmente, e incremento tenue de los costos implica que la inflación continuará siendo baja en el corto plazo, pero aumentará progresivamente más adelante. En particular, se espera que, en promedio, la inflación se ubique en el piso del rango meta en los próximos cuatro trimestres, para aumentar hacia 3% el año siguiente. Todo ello bajo el supuesto de trabajo de un aumento paulatino de la tasa de política monetaria. Los antecedentes acum ulados, por lo tanto, no parecen suficientes como para modificar la estrategia de normalización pausada de la política monetaria. De hecho, la trayectoria de la tasa de política monetaria implícita en las proyecciones no difiere mayormente de la considerada en las proyecciones de septiembre pasado. 4. Con estos antecedentes, y al igual que en los últimos meses, se puede descartar la opción de dism inuir la tasa de interés. A continuación, el señor Valdés analiza las opciones de mantenerla, o aumentarla en una magnitud a determinar. 5. Por un lado, la opción de no aumentar la tasa de política monetaria podría justificarse si se evalúa necesario una normalización más lenta a la contemplada en el escenario central de proyecciones, o incluso postergarla por un tiempo. Esto porque dos meses consecutivos sin aum entos no parecen coherentes con el ritmo utilizado como supuesto de trabajo en las proyecciones actuales, e incluso se alejan de lo implícito en las tasas de interés de m ercado para el mediano plazo, salvo que se considere como probable hacer aumentos significativos de la tasa de política monetaria más adelante, lo cual es en principio poco deseable. Sin aumentos más bruscos más adelante, una estrategia de normalización postergada implicaría una proyección de inflación en el escenario central más elevada, por encima de 3% para el mediano plazo, lo que hace poco recomendable esta opción. 6. Por otro lado, se podría argumentar a favor de un aumento mayor a 25 puntos base, tom ando en cuenta el dinamismo que está exhibiendo la economía, el que se acompaña con un considerable impulso monetario (refrendado en una tasa de interés real cercana a cero en un plazo de un año y un marcado crecimiento del crédito y de los agregados monetarios), y el hecho de que varios de los escenarios de riesgo configuran un balance posiblemente sesgado al alza hacia la inflación, especialmente en el mediano plazo. A ello se agrega que no es evidente que un aumento de esta magnitud sea contradictorio con el ritmo de normalización supuesto en las proyecciones, si más adelante hay pausas. Sin embargo, es discutible que un aumento como éste pueda entenderse como parte de un proceso pausado, especialmente después de que se mantuvo la tasa de política monetaria en condiciones que apuntaban a un panorama de mediano plazo similar al que se enfrenta en esta reunión. Por lo tanto, sería una dosis que, por coherencia temporal, parece excesiva. Además, en caso de estimarse como adecuada, es posible de repartir en más de una reunión. 7. Finalmente, un aumento de 25 puntos base en esta reunión es coherente con el ritmo de normalización considerado en las proyecciones, el que permite mantener la inflación proyectada en torno a 3% en el horizonte habitual de política.","El Presidente señor Corbo señala que continuarán los esfuerzos para clarificar estos temas, tanto internamente como también con el señor Ministro. Agrega que la reunión de política monetaria que tenga lugar en cuatro meses contados desde ahora se contará con un avance significativo en esta dirección. A continuación el Presidente don Vittorio Corbo solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria.","Respecto de elementos de táctica, cabe mencionar que, dependiendo de la encuesta, una parte importante o una mayoría relativa del mercado y analistas, no espera un aumento en esta reunión, lo cual es una situación que se previó en la reunión de un mes atrás. Sin embargo, una eventual mantención de la tasa de política monetaria podría reafirmar una percepción errónea de que se persigue una normalización más lenta del estímulo monetario, o, aun peor, que una alta inflación mensual es un requisito ",86e5721e62bd17259186064afba811d40f72d6c6e20bbb99729ed36e51ee7221
40,39,2005-01-11,Rodrigo Valdés Pulido,ATRIBUCION_HEURISTICA_LEGADA,METODO_ACTUALIZADO,COMPARACION_AUTOMATICA,ALTA,,40,Rodrigo Valdés Pulido,,Cambió la evidencia reconocida sin cambiar actor/límites; no equivale a corregir un actor.,"Revisar sujeto, destinatarios, citas y continuidad; no heredar por proximidad.","Respecto de elementos de táctica, cabe mencionar que, dependiendo de la encuesta, una parte importante o una mayoría relativa del mercado y analistas, no espera un aumento en esta reunión, lo cual es una situación que se previó en la reunión de un mes atrás. Sin embargo, una eventual mantención de la tasa de política monetaria podría reafirmar una percepción errónea de que se persigue una normalización más lenta del estímulo monetario, o, aun peor, que una alta inflación mensual es un requisito previo a aumentar la tasa, cuando lo relevante para esta decisión son las proyecciones de mediano plazo. En todo caso, dadas las expectativas prevalecientes, cabe suponer que un alza de 25 puntos base tendrá algunos efectos en precios financieros, en el sentido opuesto a los que tuvo la decisión de la reunión pasada, cuando se esperaba un alza. Sin embargo, en la medida en que se mantenga la percepción de que la trayectoria de normalización seguirá siendo pausada y no ha cambiado mayormente, las magnitudes involucradas deberían ser acotadas.","diciones que apuntaban a un panorama de mediano plazo similar al que se enfrenta en esta reunión. Por lo tanto, sería una dosis que, por coherencia temporal, parece excesiva. Además, en caso de estimarse como adecuada, es posible de repartir en más de una reunión. 7. Finalmente, un aumento de 25 puntos base en esta reunión es coherente con el ritmo de normalización considerado en las proyecciones, el que permite mantener la inflación proyectada en torno a 3% en el horizonte habitual de política.","El Presidente, don Vittorio Corbo ofrece la palabra para comentarios.",1287aaa3350ee8c3ba5cab088ac2a8af0e7c32d26319de0a9d61e6d50b5b4d4a
82,81,2005-02-10,Jorge Desormeaux Jiménez,ATRIBUCION_HEURISTICA_LEGADA,METODO_ACTUALIZADO,COMPARACION_AUTOMATICA,ALTA,,82,Jorge Desormeaux Jiménez,,Cambió la evidencia reconocida sin cambiar actor/límites; no equivale a corregir un actor.,"Revisar sujeto, destinatarios, citas y continuidad; no heredar por proximidad.","Con respecto al tema de los mercados financieros, el Consejero don Jorge Desorm eaux proporciona un comentario adicional a lo ya dicho en su exposición por el Gerente de Análisis Macroeconómico, señor Pablo García, con respecto a la evolución de las tasas de interés y es el hecho que ha habido un par de meses con inflación negativa. Ello ha significado que los agentes no solamente han tenido mayor demanda, sino que también ha cambiado la composición de ésta, moviéndose hacia instrumentos en Unidades de Fomento, dejando de lado los instrumentos nominales, que tienen un mercado más pequeño, por lo tanto menos profundo, lo que se tradujo en que las tasas de éstos subieron, la compensación inflacionaria también lo hizo y cayó la tasa de los instrumentos nuevos.","Al respecto, el Gerente de División Estudios, don Rodrigo Valdés, agrega que el precio del petróleo subió el último mes, bajó en los últimos días y ahora está casi igual que antes. Le parece que no hay grandes noticias después de esa normalización. El precio del cobre, en cambio, se encuentra más alto y que ambos son mayores que la tendencia a la baja que se esperaba.","En relación al mismo tema, el Gerente de División Estudios, señor Valdés agrega otra explicación adicional y es que las tasas en Estados Unidos de América presentaron una fuerte baja, casi 30 puntos base, desde el Informe de Política Monetaria hasta la fecha. Agrega que, no hay una explicación para tasas largas menores en el mundo. Contra eso, están los anuncios del Informe de Política Monetaria, de esta tendencia levemente más agresiva de normalización de tasas. Lo que hemos visto sí, es que ha",f90369e73f9c615d024061e1f00d851e9f6c5badf8d839df77fda14d16d05dce
120,119,2005-02-10,Vittorio Corbo Lioi,DUPLICADO_NO_FORMULA,FORMULA_PROCEDIMENTAL_RECLASIFICADA,LECTURA_DIRIGIDA_POR_AGENTE,RESUELTO_EN_ESTE_MOTIVO,,120,Vittorio Corbo Lioi,,"FORM-783-01: Fórmula de apertura, saludo o paso de palabra/votación. No contiene una recomendación sustantiva de tasa; conservar todas sus repeticiones.",Conservar todas las repeticiones; revisar separadamente otros motivos si quedan.,"A continuación el Presidente don Vittorio Corbo solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria.","Siendo las 16:10 horas, se reanuda la Sesión de Política Monetaria N° 74, con la participación de los mismos asistentes indicados en la comparecencia.","Al respecto, el señor Gerente de División señala que: 1. En la reunión de política monetaria de enero, el Consejo decidió aumentar la tasa de interés de política en 25 puntos base, a 2,5%. Con los antecedentes disponibles se concluyó que continuaban las principales tendencias identificadas en meses recientes: una inflación acotada, con medidas subyacentes que aumentaban lentamente desde niveles reducidos, y una actividad cada vez más dinámica. La disminución de holguras resultante recomendaba se",714046c20fa1f22fc26849d617a5313a85f02d0cf7a74075ddf2eefe3b928ab5
121,120,2005-02-10,Rodrigo Valdés Pulido,ATRIBUCION_POR_ANAFORA,METODO_ACTUALIZADO,COMPARACION_AUTOMATICA,ALTA,,121,Rodrigo Valdés Pulido,,Cambió la evidencia reconocida sin cambiar actor/límites; no equivale a corregir un actor.,"Revisar sujeto, destinatarios, citas y continuidad; no heredar por proximidad.","Al respecto, el señor Gerente de División señala que: 1. En la reunión de política monetaria de enero, el Consejo decidió aumentar la tasa de interés de política en 25 puntos base, a 2,5%. Con los antecedentes disponibles se concluyó que continuaban las principales tendencias identificadas en meses recientes: una inflación acotada, con medidas subyacentes que aumentaban lentamente desde niveles reducidos, y una actividad cada vez más dinámica. La disminución de holguras resultante recomendaba seguir normalizando la política monetaria, la que continuaba siendo considerablemente expansiva. La inflación acotada, por su parte, permitía que el ritmo de ajustes de la tasa de interés siguiera siendo pausado. El aumento de la tasa de política monetaria en la reunión anterior era coherente con aportar señales respecto de este ritmo de normalización. 2. La minuta de antecedentes preparada para esta reunión, da cuenta de que continúan las principales tendencias mencionadas, aunque con novedades que indican un mayor crecimiento. El entorno internacional relevante se mantiene favorable, con un precio del cobre que ha persistido en niveles superiores a US$ 1,42 por libra, por encima de lo proyectado en la reunión anterior, y un precio del petróleo que también se mantiene elevado, aunque ha vuelto a los niveles observados antes de la reunión anterior. La de actividad interna creció 7,7% en diciembre, aproximadamente un punto porcentual más que lo previsto hace un mes. La inversión en maquinaria y equipos sigue aumentando en la tendencia de los últimos meses, sorprendiendo al no dar muestras de atenuar su marcado dinamismo. Los indicadores de consumo se mantienen robustos, mientras se aprecia un aumento en las últimas mediciones de las expectativas de los hogares. En el mercado laboral se confirma la mayor creación de empleos, a una tasa anualizada cercana a 7% durante la segunda mitad de 2004. 3. Por el lado de precios y costos, las medidas de la tendencia inflacionaria siguen aumentando lentamente, con la inflación subyacente IPCX1 en línea con las proyecciones del último Informe de Política Monetaria. Asimismo, la tasa de crecimiento anual de los costos laborales unitarios privados se mantiene negativa, situación que, en todo caso, no se ha profundizado. Por su parte, el tipo de cambio bilateral y multilateral ha mostrado un leve aumento durante el último mes, el que se ha revertido parcialmente en los últimos días. Finalmente, las distintas medidas de expectativas de inflación han aumentado, ubicándose cerca de 3% las de mayor plazo, incluyendo la compensación inflacionaria en instrumentos financieros a cinco y diez años. 4. Con estos antecedentes, considerando el aumento de la tasa de interés de la reunión pasada, las opciones más plausibles son mantener la tasa de política monetaria o aumentarla en 25 puntos base.","A continuación el Presidente don Vittorio Corbo solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria.","5. En principio, los antecedentes acumulados son coherentes con mantener la estrategia de normalización pausada de la política monetaria aplicada desde septiembre pasado, pues ellos parecen insuficientes para modificar de manera significativa el escenario macroeconómico más probable. Sin embargo, si el escenario alternativo de persistencia de las noticias positivas de actividad sigue cobrando importancia, se podría justificar aumentar levemente el ritmo de normalización, aumento que en todo caso",f33d3ed14fc7b8f112ba70a0ddd5e543a4b1f595ed6f70b8712974f13b356508
122,121,2005-02-10,Rodrigo Valdés Pulido,ATRIBUCION_HEURISTICA_LEGADA,METODO_ACTUALIZADO,COMPARACION_AUTOMATICA,ALTA,,122,Rodrigo Valdés Pulido,,Cambió la evidencia reconocida sin cambiar actor/límites; no equivale a corregir un actor.,"Revisar sujeto, destinatarios, citas y continuidad; no heredar por proximidad.","5. En principio, los antecedentes acumulados son coherentes con mantener la estrategia de normalización pausada de la política monetaria aplicada desde septiembre pasado, pues ellos parecen insuficientes para modificar de manera significativa el escenario macroeconómico más probable. Sin embargo, si el escenario alternativo de persistencia de las noticias positivas de actividad sigue cobrando importancia, se podría justificar aumentar levemente el ritmo de normalización, aumento que en todo caso podría seguir siendo gradual, en la medida que las presiones inflacionarias actuales se mantengan acotadas. Por lo tanto, las novedades permiten descartar la idea de reducir el ritmo de normalización porque, mientras la inflación siga un curso como el previsto, la situación de mayor crecimiento implicará un mayor uso de las holguras de capacidad que lo anticipado en las proyecciones. 6. Como se ha discutido en otras oportunidades, en esta estrategia de normalización pausada de la política monetaria tienen cabida tanto alzas sucesivas durante algunos meses como pausas en otros, siendo la acumulación de antecedentes mes a mes un elemento fundamental para definir el ritmo preciso. Así, luego de un mes en que se aumentó la tasa de política monetaria, en la estrategia de normalización pausada tienen cabida tanto la mantención de la tasa de política monetaria en esta reunión como un aumento de 25 puntos base. 7. La mayoría de los antecedentes coyunturales apoya un nuevo aumento de tasa de política monetaria en esta reunión. Como se ha visto, por el lado de la inflación efectiva hay relativamente pocas novedades, mientras que el mayor uso de las holguras de capacidad estaría progresando más rápidamente que lo previsto. A ello se suman mejores indicadores de expectativas de hogares y empresas. En este cuadro resulta recomendable continuar transitando hacia una política monetaria más neutral desde el actual nivel considerablemente expansivo, de manera de asegurar que, dados los rezagos que tiene dicha política, el estimulo monetario sea coherente con una inflación proyectada en 3% en el horizonte habitual de política de 12 a 24 meses. 8. Ahora bien, también sería posible justificar mantener la tasa de política monetaria en su nivel actual si se evaluara que detrás del mayor crecimiento existe una expansión especialmente vigorosa del producto potencial, comparable a la del producto efectivo — y, por lo tanto, un cierre de brechas menos pronunciado— y se ponderara más el reducido aumento de los costos laborales. Ambos efectos atenuarían las futuras presiones de precios. La validez de este cuadro, sin embargo, puede ser contrastada con el comportamiento de las medidas de la tendencia inflacionaria, las que deberían mostrar algún grado de estancamiento si las holguras efectivamente fuesen elevadas y persistentes. Aunque las medidas mencionadas siguen aumentando lentamente, todas ellas van en la misma dirección por alrededor de varios meses. 9. En la presente reunión, los elementos tácticos tienen mayor importancia que la habitual. Al respecto cabe considerar, que en los últimos meses la gradualidad del proceso de normalización se ha asociado con pausas en los cambios de la tasa de política monetaria mes por medio. Esta situación ha sido relativamente incorporada en la estructura de precios financieros prevaleciente y, en esta oportunidad, una mayoría relativa del mercado no espera un cambio en la tasa de política monetaria. En efecto, la encuesta a analistas del Banco Central de Chile reveló un expectativa mayoritaria de mantención de la tasa (aunque su fecha de cierre fue previa a la divulgación del Imacec), y las encuestas de los servicios informativos realizadas en el día de ayer también dan cuenta de una expectativa mayoritaria por la mantención de la misma. Un alza sucesiva rompería la secuencia descrita y, posiblemente, sería percibida como un leve aumento del ritmo de normalización.","eve aumento durante el último mes, el que se ha revertido parcialmente en los últimos días. Finalmente, las distintas medidas de expectativas de inflación han aumentado, ubicándose cerca de 3% las de mayor plazo, incluyendo la compensación inflacionaria en instrumentos financieros a cinco y diez años. 4. Con estos antecedentes, considerando el aumento de la tasa de interés de la reunión pasada, las opciones más plausibles son mantener la tasa de política monetaria o aumentarla en 25 puntos base.","10. Lo anterior, sin embargo, tiene dos aspectos positivos. Por un lado, validaría el que las proyecciones realizadas en el Informe de Política Monetaria tienen implícito un ritmo de normalización de la política monetaria levemente mayor que el implícito en la estructura que prevalecía antes del cierre estadístico de dicho documento. Las novedades que se han acumulado apoyan dicha validación, al igual que la exigua reacción que tuvieron las tasas de mercado con ese anuncio. Por otro lado, en la ",1fd7df4fc59ff688edad4f37f6162a6b6f35d41ed40d4b10070de41079642ed9
123,122,2005-02-10,Rodrigo Valdés Pulido,ATRIBUCION_HEURISTICA_LEGADA,METODO_ACTUALIZADO,COMPARACION_AUTOMATICA,ALTA,,123,Rodrigo Valdés Pulido,,Cambió la evidencia reconocida sin cambiar actor/límites; no equivale a corregir un actor.,"Revisar sujeto, destinatarios, citas y continuidad; no heredar por proximidad.","10. Lo anterior, sin embargo, tiene dos aspectos positivos. Por un lado, validaría el que las proyecciones realizadas en el Informe de Política Monetaria tienen implícito un ritmo de normalización de la política monetaria levemente mayor que el implícito en la estructura que prevalecía antes del cierre estadístico de dicho documento. Las novedades que se han acumulado apoyan dicha validación, al igual que la exigua reacción que tuvieron las tasas de mercado con ese anuncio. Por otro lado, en la medida en que este ritmo de normalización levemente mayor sea percibido por el mercado, disminuye el riesgo de que sea necesario hacer alzas menos pausadas en el futuro ya que, parte de la normalización del estímulo monetario emanaría de acomodos en las tasas de mediano y largo plazo (y de los efectos cambíanos asociados. 11. Finalmente, el señor Gerente de la División Estudios señala, que cabe mencionar que también existe el riesgo táctico de que una decisión de alza no sea bien comprendida y se confunda con un cambio de la estrategia gradual. Este riesgo, sin embargo, debería ser posible de abordar en el comunicado de prensa respectivo.","sa de política monetaria. En efecto, la encuesta a analistas del Banco Central de Chile reveló un expectativa mayoritaria de mantención de la tasa (aunque su fecha de cierre fue previa a la divulgación del Imacec), y las encuestas de los servicios informativos realizadas en el día de ayer también dan cuenta de una expectativa mayoritaria por la mantención de la misma. Un alza sucesiva rompería la secuencia descrita y, posiblemente, sería percibida como un leve aumento del ritmo de normalización.","El Presidente, don Vittorio Corbo ofrece la palabra para comentarios.",46d84f2879721fe69c9aabb5647164c2e0a6623d58b0b5214f0d149bd4065013
178,177,2005-03-10,Vittorio Corbo Lioi,DUPLICADO_NO_FORMULA,FORMULA_PROCEDIMENTAL_RECLASIFICADA,LECTURA_DIRIGIDA_POR_AGENTE,RESUELTO_EN_ESTE_MOTIVO,,178,Vittorio Corbo Lioi,,"FORM-783-01: Fórmula de apertura, saludo o paso de palabra/votación. No contiene una recomendación sustantiva de tasa; conservar todas sus repeticiones.",Conservar todas las repeticiones; revisar separadamente otros motivos si quedan.,"A continuación el Presidente don Vittorio Corbo solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria.","Siendo las 16:00 horas, se reanuda la Sesión de Política Monetaria N° 75, con la participación de los mismos asistentes indicados en la comparecencia.","A l respecto, el señor Gerente de División señala que; 1. En la reunión de política monetaria de febrero, el Consejo decidió aumentar la tasa de interés de política en 25 puntos base a 2,75%. En esta decisión se consideró que las distintas mediciones de la tendencia inflacionaria seguían aumentando gradualmente, que el cierre de las brechas de capacidad seguía progresando y se mantenía un marcado estímulo monetario. El ajuste de la tasa de política monetaria era coherente con la estrategia de no",714046c20fa1f22fc26849d617a5313a85f02d0cf7a74075ddf2eefe3b928ab5
179,178,2005-03-10,Rodrigo Valdés Pulido,ATRIBUCION_HEURISTICA_LEGADA,METODO_ACTUALIZADO,COMPARACION_AUTOMATICA,ALTA,,179,Rodrigo Valdés Pulido,,Cambió la evidencia reconocida sin cambiar actor/límites; no equivale a corregir un actor.,"Revisar sujeto, destinatarios, citas y continuidad; no heredar por proximidad.","A l respecto, el señor Gerente de División señala que; 1. En la reunión de política monetaria de febrero, el Consejo decidió aumentar la tasa de interés de política en 25 puntos base a 2,75%. En esta decisión se consideró que las distintas mediciones de la tendencia inflacionaria seguían aumentando gradualmente, que el cierre de las brechas de capacidad seguía progresando y se mantenía un marcado estímulo monetario. El ajuste de la tasa de política monetaria era coherente con la estrategia de normalización pausada del impulso monetario iniciada en septiembre del año pasado y reafirmaba lo previsto en el Informe de Política Monetaria de enero, al mismo tiempo que reducía el riesgo de ajustes abruptos en el futuro. 2. La minuta de antecedentes preparada para esta reunión da cuenta de que se sigue desarrollando un cuadro macroeconómico similar al previsto en el Informe de Política Monetaria, el que incluye un ritmo de crecimiento de la actividad mayor que el crecimiento potencial y una inflación de tendencia que gradualmente vuelve al rango meta gracias a una normalización pausada de la política monetaria. 3. En efecto, los últimos antecedentes disponibles confirman que la inflación de tendencia sigue aumentando lentamente, a pesar de los vaivenes que exhibe la inflación mensual, los que se explican por cambios en las tarifas reguladas. A su vez, las distintas medidas de expectativas de inflación han continuado normalizándose, llegando a cerca de 3% las de m ayor plazo, mientras los costos laborales y las remuneraciones también han repuntado levemente. Por su parte, el crecimiento de la actividad y del empleo presentan velocidades de expansión instantánea algo menores que en meses pasados, pero aum entos anuales aún superiores a sus tendencias. Los indicadores de consumo se mantienen robustos, al igual que las expectativas de hogares y empresas. Las mayores diferencias con respecto al escenario base se dan en las importaciones de bienes de capital, que siguen sorprendiendo al no dar muestras de atenuar su marcado dinamismo, y en los precios del cobre y del petróleo, que se han mantenido por encima de lo proyectado, lo que motiva revisiones al alza de sus trayectorias esperadas. También resalta el aumento de las tasas de interés de largo plazo en Estados Unidos de América. 4. Con estos antecedentes, considerando el aumento de la tasa de interés de la reunión pasada, las opciones más plausibles son mantener la tasa de política monetaria o aum entarla en 25 puntos base. 5. Al aum entar su sintonía con el último escenario de proyecciones, los antecedentes acum ulados son coherentes con mantener la estrategia de normalización pausada de la política monetaria aplicada desde septiembre pasado. El escenario alternativo de persistencia en las noticias positivas de actividad, por encima del escenario central — que se discutió en el último par de meses y que podría justificar un leve aumento del ritmo de normalización— , parece ahora algo menos probable. En el otro extremo, las novedades tam poco apoyan la idea de reducir el ritmo de normalización. De hecho, la inflación continúa un curso como el previsto, en un escenario que incluye una gradual normalización de la política monetaria. 6. Como se ha discutido en otras oportunidades, en la estrategia de normalización pausada de la política monetaria tienen cabida tanto alzas sucesivas durante algunos meses como pausas en otros, siendo la acumulación de antecedentes mes a mes un elemento fundam ental para definir el ritmo preciso de los ajustes. En este marco, luego de dos mes consecutivos en que se aumentó la tasa de política monetaria, es posible justificar m antener la tasa de política monetaria. La ausencia de novedades mayores en la trayectoria de la inflación y de la actividad apoyan esta alternativa, al igual que la moderación del rápido crecimiento que exhibian algunos indicadores de actividad y empleo. El hecho de que los costos laborales continúen en una trayectoria acotada igualmente sugiere que se puede realizar una pausa. Finalmente, el riesgo de que tres alzas sucesivas se interpreten como un aumento del ritmo de normalización por encima del que se ha considerado como adecuado para el escenario más probable, también respalda esta opción. 7. Por otra parte, también es posible justificar un aumento de la tasa de política monetaria si se pondera más el riesgo de que persistan los mayores precios del petróleo y del cobre, con presiones de costo directas del primero y un posible panorama de mayor actividad del segundo. A esto se suma el vigor que muestran las importaciones de bienes de capital, que pueden señalar un ciclo expansivo de la economía más pronunciado. Sin embargo, considerando que la inflación actualmente se ubica cerca del piso del rango meta, se puede argumentar que no es necesario tomar acciones preventivas ante riesgos que aún no se materializan y cuyos efectos cuantitativos sobre la inflación dependen críticamente de sus consecuencias sobre terceras variables, incluyendo el tipo de cambio, el PIB efectivo y el potencial, 8. También es posible justificar un aumento de la tasa de política monetaria en esta reunión considerando que la política monetaria continúa siendo considerablemente expansiva a pesar de los ajustes ya realizados. Por ejemplo, las tasas reajustables a cinco y diez años han disminuido cerca de 60 puntos base desde fines de diciembre, mientras la compensación inflacionaria ha aumentado entre 50 puntos base y 80 puntos base, según el plazo, desde comienzos de enero. Con todo, cabe destacar que durante el último mes la curva forward sí ha mostrado un desplazamiento acotado, cercano a 25 puntos base para el horizonte de política. 9. Finalmente, cabe destacar que para esta reunión la mayoría de las encuestas indican que poco más de la mitad de los agentes interrogados no espera cambios de la tasa de política monetaria, por lo que la mantención no debería tener consecuencias mayores sobre los precios de los activos y las expectativas futuras de política monetaria. La excepción es la encuesta a mesas de dinero del Banco Central de Chile, en que una mayoría espera un aumento de 25 puntos base.","A continuación el Presidente don Vittorio Corbo solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria.","El Presidente, don Vittorio Corbo ofrece la palabra para comentarios.",04885f30725c27e933d6e01f4b62303ebb8b29c384d3523cf535870d80427ca2
182,180,2005-03-10,Sergio Lehmann Beresi,ATRIBUCION_HEURISTICA_LEGADA,METODO_ACTUALIZADO,COMPARACION_AUTOMATICA,ALTA,,182,Sergio Lehmann Beresi,CARGO_EN_DISCURSO_POR_VERIFICAR,Cambió la evidencia reconocida sin cambiar actor/límites; no equivale a corregir un actor.,"Revisar sujeto, destinatarios, citas y continuidad; no heredar por proximidad.","El Gerente de Análisis Financiero, señor Sergio Lehmann, estima que es importante también poner sobre el tapete de la discusión algo que se mencionó en la reunión de la mañana que se refiere al balance de riesgo, que, al menos, desde el punto de vista de la División Internacional, es más bien negativo, desde el punto de vista de la inflación externa que, al parecer, puede presentar algunas presiones en ese sentido, así como también en lo referente al precio del petróleo, y por lo tanto, desde el punto de vista de la estrategia táctica habría que tomar en consideración esos escenarios de manera de no aparecer también sobrerreaccionando.","Herrera, señala que concuerda con los comentarios y recomendaciones sobre una normalización pausada de la política monetaria. Agrega, que se han oído varios comentarios respecto de por qué postergar, por razones más bien tácticas, el aumento de la tasa de política monetaria y dejarlo para otro mes. Indica que también hay otro tema, que tiene relación con los aumentos de inflación que probablemente se van a presentar y le preocupa que después aparezcamos reaccionando respecto de esos incrementos.","El Presidente, señor Corbo, agrega que con las alzas de tasas efectuadas en los últimos dos meses se hizo frente a inflaciones negativas. Señala que en esas oportunidades, se dio una señal clara de que el Banco se preocupaba de la inflación hacia delante y no mes a mes. Sí así no se hubiera hecho no hay duda que la situación sería muy distinta.",78a9eccfa0e38e54f4de38791765728007a3108bbd9cfe3642fa90e71e1851a7
