ID_Intervencion	Fecha	Actor	N_Op	Tipo	Antes	Despues	Justificacion
RPM-2006-10-12:879:1	2006-10-12	Consejo del Banco Central de Chile	1	SIMBOLO_SUELTO	bajo la presidencia de! titular	bajo la presidencia del titular	El signo de admiracion ocupa el lugar de la ele de la contraccion 'del'. La formula de apertura de acta es fija en todo el corpus: 'bajo la presidencia del titular don'.
RPM-2006-10-12:881:1	2006-10-12	Sergio Lehmann Beresi	1	ACENTO_FALTANTE	el precio del cobre desciende en linea con lo esperado	el precio del cobre desciende en línea con lo esperado	Falta la tilde en 'linea'. La misma fila escribe 'en línea con el comportamiento' mas adelante, con tilde.
RPM-2006-10-12:881:1	2006-10-12	Sergio Lehmann Beresi	2	SIMBOLO_SUELTO	menores registros inflacionarios e;	menores registros inflacionarios e	Punto y coma intruso detras de la conjuncion 'e'. La oracion continua en la linea siguiente sin cierre sintactico.
RPM-2006-10-12:881:1	2006-10-12	Sergio Lehmann Beresi	3	LETRA_CONFUNDIDA	En lo que dice relación ai precio del petróleo	En lo que dice relación al precio del petróleo	'ai' no es palabra; la formula es 'en lo que dice relación al'. La i ocupa el lugar de la ele.
RPM-2006-10-12:881:1	2006-10-12	Sergio Lehmann Beresi	4	SIMBOLO_SUELTO	la trayectoria proyectada para el precio de!	la trayectoria proyectada para el precio del	El signo de admiracion ocupa el lugar de la ele de 'del'. Mismo artefacto que en 879:1.
RPM-2006-10-12:884:1	2006-10-12	Sergio Lehmann Beresi	1	LETRA_CONFUNDIDA	el precio promedio sería de LJS$ 2 por debajo	el precio promedio sería de US$ 2 por debajo	'LJS$' es una lectura optica de 'US$': la ele y la jota ocupan el lugar de la u y la ese. La misma fila escribe 'US$ 65 - US$ 70', 'US$ 61 el barril' y 'US$ 58 el barril' correctamente.
RPM-2006-10-12:896:1	2006-10-12	Igal Magendzo Weinberger	1	SIMBOLO_SUELTO	las expectativas de inflación de! sector privado	las expectativas de inflación del sector privado	El signo de admiracion ocupa el lugar de la ele de la contraccion 'del'. Mismo artefacto que en 879:1 y 881:1 de esta sesion.
RPM-2006-10-12:896:1	2006-10-12	Igal Magendzo Weinberger	2	ACENTO_INDEBIDO	nuevamente afectada a la baja por factores estaciónales	nuevamente afectada a la baja por factores estacionales	'estacional' es palabra grave terminada en l: no lleva tilde. La tilde intrusa cae sobre la o.
RPM-2006-10-12:896:1	2006-10-12	Igal Magendzo Weinberger	3	LETRA_CONFUNDIDA	la del MI que se ubicó en 16,1%	la del M1 que se ubicó en 16,1%	El contexto es explicito: 'agregados monetarios'. M1 es el agregado; la i mayuscula es una lectura optica del digito 1. La fila cita ademas BCP-2, BCU-5 y BCU-10 con digitos correctos, lo que confirma que solo esta ocurrencia se leyo mal.
RPM-2006-10-12:896:1	2006-10-12	Igal Magendzo Weinberger	4	PALABRA_OMITIDA	las cifras continúan siendo negativas por la alta base⏎comparación, lo que	las cifras continúan siendo negativas por la alta base de comparación, lo que	Falta la preposicion. La misma fila escribe la formula completa mas adelante: 'dada la alta base de comparación de septiembre de 2005'. No se inventa nada: se repite la forma que el propio texto trae.
