"Izquierda","Derecha","Decision","Justificacion","Aplicado","Miembros_Leidos"
"RPM-2007-12-13:1603:1","RPM-2007-12-13:1604:1","RESERVA_CESIONES_CONSECUTIVAS","El Presidente agradece y abre comentarios176; luego cede específicamente a Schmidt-Hebbel120. No hay otra voz transcrita entre ambas cesiones, por lo que no se afirma discontinuidad absoluta; se mantiene separación conservadora sin desactivar la barrera. La exposición6220 de Schmidt-Hebbel sigue separada e íntegra.","NO","RPM-2007-12-13:1603:1;RPM-2007-12-13:1604:1"
"RPM-2008-01-10:1630:1","RPM-2008-01-10:1631:1","RESERVA_CESIONES_CONSECUTIVAS","Agradecimiento y oferta general164 preceden a la cesión específica120 a Schmidt-Hebbel. No se inventa intervención intercalada ni se incluye la exposición3865 del destinatario en el turno del Presidente. Reserva funcional sin enlace nuevo.","NO","RPM-2008-01-10:1630:1;RPM-2008-01-10:1631:1"
"RPM-2008-05-08:1840:1","RPM-2008-05-08:1841:1","RESERVA_CESIONES_CONSECUTIVAS","La oferta general de comentarios164 precede a la cesión a Recart134. La mera mención de la Ministra no inicia su intervención; la ventana de1842 sólo contextualiza el siguiente inicio. No se afirma voz intermedia.","NO","RPM-2008-05-08:1840:1;RPM-2008-05-08:1841:1"
"RPM-2008-12-11:2203:1","RPM-2008-12-11:2204:1","RESERVA_CESION_REITERADA","Las cesiones150 y179 repiten el destinatario Soto. Se conservan A continuación,. y de de, sin borrar la reiteración ni afirmar que hubo otra voz. Se mantiene el grupo previo2202:2(134)→2203:1; Marshall1796 en2202 queda separado.","NO","RPM-2008-12-11:2202:2;RPM-2008-12-11:2203:1;RPM-2008-12-11:2204:1"
"RPM-2010-01-14:2875:1","RPM-2010-01-14:2875:2","SEPARAR_POR_PAUSA","El cierre de la mañana79 precede al reconocimiento a Velasco1038 antes de reanudar a las16:00. El cambio temporal respalda la separación, aunque siga hablando el Presidente. La respuesta de Velasco en2876 no se adelanta.","NO","RPM-2010-01-14:2875:1;RPM-2010-01-14:2875:2"
"RPM-2010-02-11:2958:1","RPM-2010-02-11:2958:2","SEPARAR_POR_PAUSA","El cierre335, con repetición dañada y aviso, precede al inicio de la tarde224 a las15:00. Se conserva el aviso y el inicio contextual sin ancla global. La oferta a García no es su exposición;2959 queda fuera.","NO","RPM-2010-02-11:2958:1;RPM-2010-02-11:2958:2"
"RPM-2010-03-18:3008:1","RPM-2010-03-18:3008:2","SEPARAR_POR_PAUSA","Cierre61 y bienvenida332 previa a reanudación de las16:00 son episodios temporalmente distintos. Se conserva la respuesta413 de Larraín, su daño y A continuación,. No se transfiere el residuo a3009 ni se toma la mención del Presidente de la República como voz actual.","NO","RPM-2010-03-18:3008:1;RPM-2010-03-18:3008:2"
"RPM-2010-05-13:3109:1","RPM-2010-05-13:3109:2","SEPARAR_POR_PAUSA","Cierre144 e inicio548 a las16:00 quedan separados. El comentario final655 de3108 permanece unido al cierre144. Soto843 y García322 siguen separados. La frase institucional83, truncada en por., no se completa ni se adjudica a quien se menciona en3110.","NO","RPM-2010-05-13:3108:3;RPM-2010-05-13:3109:1;RPM-2010-05-13:3109:2"
"RPM-2010-06-15:3193:1","RPM-2010-06-15:3193:2","SEPARAR_POR_PAUSA","Cierre217 y reanudación246 a las13:00 quedan separados. La presentación2764 de García permanece íntegra y no se incorpora a la cesión. Se conserva el literal Pablo Garda sin introducir alias nuevo ni reparar OCR.","NO","RPM-2010-06-15:3193:1;RPM-2010-06-15:3193:2"
"RPM-2010-07-15:3269:1","RPM-2010-07-15:3269:2","SEPARAR_POR_PAUSA","Cierre96 a las13:10 y apertura/bienvenida247 a las16:00 quedan separados. Se mantiene A continuación,. al final del segundo tramo; no se borra ni reconstruye.","NO","RPM-2010-07-15:3269:1;RPM-2010-07-15:3269:2"
